msno,is_churn
waLDQMmcOu2jLDaV1ddDkgCrB/jl6sD66Xzs0Vqax1Y=,1
QA7uiXy8vIbUSPOkCf9RwQ3FsT8jVq2OxDr8zqa7bRQ=,1
fGwBva6hikQmTJzrbz/2Ezjm5Cth5jZUNvXigKK2AFA=,1
mT5V8rEpa+8wuqi6x0DoVd3H5icMKkE9Prt49UlmK+4=,1
XaPhtGLk/5UvvOYHcONTwsnH97P4eGECeq+BARGItRw=,1
GBy8qSz16X5iYWD+3CMxv/Hm6OPSrXBYtmbnlRtknW0=,1
lYLh7TdkWpIoQs3i3o6mIjLH8/IEgMWP9r7OpsLX0Vo=,1
T0FF6lumjKcqEO0O+tUH2ytc+Kb9EkeaLzcVUiTr1aE=,1
Nb1ZGEmagQeba5E+nQj8VlQoWl+8SFmLZu+Y8ytIamw=,1
MkuWz0Nq6/Oq5fKqRddWL7oh2SLUSRe3/g+XmAWqW1Q=,1
I8dFN2EjFN1mt4Xel8WQX1/g7u6Dg4PBMHLkiDjhUS8=,1
0Ip2rzeoa44alqEw3daokOIJ5pRlKsuvSXpFiVfz6/U=,1
piVhWxrWDmiNQFY6x+geStHfdT+nyD9lgXq05MSi7So=,1
wEUOkYvyz3xTOx2p9z2Xcs4OzYsH/ZrNFUKZ+KFPf0M=,1
xt4EjWRyXBMgEgKBJy63klKN6wIIR31t1K771V2Glps=,1
QS3ob4zLlWcWzBIlbsd6lQIA3nJusPs6rNDVSEpQO2k=,1
9iW/UpqRoviya9CQh64RoYLPjiws8+biwscN+g5qYm4=,1
d7QVMhAzjj4yc1Ojjbf2SFJam90RaUcwNDe3NxHVluA=,1
uV7rJjHPrpNssDMmY2OnfJnib8BUqeyvUxrIQnbRwek=,1
