msno,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel
YyO+tlZtAXYXoZhNr3Vg3+dfVQvrBVGO8j1mfqe4ZHc=,41,30,129,129,1,20150930,20151101,0
AZtu6Wl0gPojrEQYB8Q3vBSmE2wnZ3hi1FbK1rQQ0A4=,41,30,149,149,1,20150930,20151031,0
UkDFI97Qb6+s2LWcijVVv4rMAsORbVDT2wNXF0aVbns=,41,30,129,129,1,20150930,20160427,0
M1C56ijxozNaGD0t2h68PnH2xtx5iO5iR2MVYQB6nBI=,39,30,149,149,1,20150930,20151128,0
yvj6zyBUaqdbUQSrKsrZ+xNDVM62knauSZJzakS9OW4=,39,30,149,149,1,20150930,20151121,0
KN7I82kjY0Tn76Ny95ncqBUVbO7b8AXrOPqZutKpxIM=,21,30,149,149,1,20150930,20151107,0
m5ptKif9BjdUghHXXomSezy5ohJiHm85PE13f/3kQaw=,39,30,149,149,1,20150930,20151128,0
uQxbyACsPOEkTIrv9jZgoGXelGBW81ZsSZKy9fhj5Z8=,39,30,149,149,1,20150930,20151125,0
LUPRfoE2r3WwVWhYO/TqQhjrL/qP6CO+/ORUlr7yNc0=,39,30,149,149,1,20150930,20151222,0
pMVjPLgVknaJYm9L0xUwxA2jmhpK7gfhGnsmmwX1mrE=,39,30,149,149,1,20150930,20151118,0
bQkbrEPdMfVfdsoz0RoWSmgYpHJuhRqtIml7aRUrFL8=,39,30,149,149,1,20150930,20151121,0
TZVCT9pCufI/AWjrG9s2fLbkpDI/8jRDAI6+PfQmTDs=,39,30,149,149,1,20150930,20151124,0
b2AiGMFhT6fbDyN12qnlALHKtj727HjUxCSGC9WeCi4=,39,30,149,149,1,20150930,20151117,0
ksInNb4D5jdSSIYUrNcoOJfAcrcNVxiMi8dAIMoh5cc=,39,30,149,149,1,20150930,20151129,0
aQKXNflQtXF92cpv4wxluXvUqJYy45NFy23kLYLSfgA=,39,30,149,149,1,20150930,20151111,0
iFxPpElVK6kXnZbuh5Di3ITpHtrkGNM73WbJG+zy05o=,39,30,149,149,1,20150930,20151122,0
8qrtRZQTuCih4YJhjEwvVdi9ojgltQnW5Rmqz3iMRXU=,39,30,149,149,1,20150930,20151106,0
pE2FeJOBZv5snDGdFuyQfDUenL8m84LB+gjG+njv0Dg=,39,30,149,149,1,20150930,20151114,0
vma4rQzDa/l4Wb/MyNxzI2YDuJIXlpL5xcw32BxaKLk=,39,30,149,149,1,20150930,20151123,0
