msno,date,num_25,num_50,num_75,num_985,num_100,num_unq,total_secs
rxIP2f2aN0rYNp+toI0Obt/N/FYQX8hcO1fTmmy2h34=,20150513,0,0,0,0,1,1,280.3350
rxIP2f2aN0rYNp+toI0Obt/N/FYQX8hcO1fTmmy2h34=,20150709,9,1,0,0,7,11,1658.9480
yxiEWwE9VR5utpUecLxVdQ5B7NysUPfrNtGINaM2zA8=,20150105,3,3,0,0,68,36,17364.9560
yxiEWwE9VR5utpUecLxVdQ5B7NysUPfrNtGINaM2zA8=,20150306,1,0,1,1,97,27,24667.3170
yxiEWwE9VR5utpUecLxVdQ5B7NysUPfrNtGINaM2zA8=,20150501,3,0,0,0,38,38,9649.0290
yxiEWwE9VR5utpUecLxVdQ5B7NysUPfrNtGINaM2zA8=,20150702,4,0,1,1,33,10,10021.5200
yxiEWwE9VR5utpUecLxVdQ5B7NysUPfrNtGINaM2zA8=,20150830,3,1,0,0,4,7,1119.5550
yxiEWwE9VR5utpUecLxVdQ5B7NysUPfrNtGINaM2zA8=,20151107,1,0,0,0,4,5,938.0220
yxiEWwE9VR5utpUecLxVdQ5B7NysUPfrNtGINaM2zA8=,20160110,2,0,1,0,11,6,3004.0680
yxiEWwE9VR5utpUecLxVdQ5B7NysUPfrNtGINaM2zA8=,20160316,9,3,4,1,67,50,18257.6610
yxiEWwE9VR5utpUecLxVdQ5B7NysUPfrNtGINaM2zA8=,20160510,5,3,2,1,67,66,16764.2060
yxiEWwE9VR5utpUecLxVdQ5B7NysUPfrNtGINaM2zA8=,20160804,1,4,5,0,36,43,11359.5650
yxiEWwE9VR5utpUecLxVdQ5B7NysUPfrNtGINaM2zA8=,20160926,7,1,0,1,38,20,10201.9790
yxiEWwE9VR5utpUecLxVdQ5B7NysUPfrNtGINaM2zA8=,20161115,0,1,4,1,38,40,9288.9480
yxiEWwE9VR5utpUecLxVdQ5B7NysUPfrNtGINaM2zA8=,20170106,0,0,0,1,39,38,10123.2280
PNxIsSLWOJDCm7pNPFzRO/6Mmg2WeZA2nf6hw6t1x3g=,20151201,3,3,2,0,8,11,2293.2500
PNxIsSLWOJDCm7pNPFzRO/6Mmg2WeZA2nf6hw6t1x3g=,20160628,0,0,1,1,1,3,639.0300
PNxIsSLWOJDCm7pNPFzRO/6Mmg2WeZA2nf6hw6t1x3g=,20170106,2,1,0,0,35,34,7563.9360
KXF9c/T66LZIzFq+xS64icWMhDQE6miCZAtdXRjZHX8=,20150803,0,0,0,0,16,11,3585.9400
