msno,date,num_25,num_50,num_75,num_985,num_100,num_unq,total_secs
u9E91QDTvHLq6NXjEaWv8u4QIqhrHk72kE+w31Gnhdg=,20170331,8,4,0,1,21,18,6309.2730
nTeWW/eOZA/UHKdD5L7DEqKKFTjaAj3ALLPoAWsU8n0=,20170330,2,2,1,0,9,11,2390.6990
2UqkWXwZbIjs03dHLU9KHJNNEvEkZVzm69f3jCS+uLI=,20170331,52,3,5,3,84,110,23203.3370
ycwLc+m2O0a85jSLALtr941AaZt9ai8Qwlg9n0Nql5U=,20170331,176,4,2,2,19,191,7100.4540
EGcbTofOSOkMmQyN1NMLxHEXJ1yV3t/JdhGwQ9wXjnI=,20170331,2,1,0,1,112,93,28401.5580
qR/ndQ5B+1cY+c9ihwLoiz+RFiqEnGyQKo32ZErEVKo=,20170331,3,0,0,0,39,41,9786.8420
N6ch5ArfJixq9mvARJv9ip1D11uvDVazz6Qup5mX7DI=,20170330,9,1,0,0,18,26,4920.2550
JEjl2W1ivEI6epeobW3n5rDg/r6PJm4OJhtmhwYaQIc=,20170331,181,68,5,3,54,291,22433.1050
lPK4IYIFdfTT6pq7x2dSV1Vy9j9hNMWzf7XfYBUBz5E=,20170331,3,0,1,1,181,150,46240.2810
cDgnvwQwCwru2m3zcSuK5oTr6pr1nMPQ/6RerOmxrs0=,20170331,5,4,1,1,30,31,7881.6180
Cwk7eMLB8Gn8WuzECC2i/GboGXOfkGhS8ju6Brrk2F8=,20170331,7,1,2,7,69,74,18169.1760
6eT/NGMljpNgEeqTYIdhkc/dvUik+b+41sBNrXJ0cBQ=,20170324,78,5,3,2,8,85,3490.0200
PVoh0C3fQb1qPNLj7SZ0fKzFC8kStQ/uT2bV358G/1E=,20170325,7,1,0,0,45,21,8159.8110
cK5XYJqbmsRYasnA48AkJzUna8Ijge8wAp/r3Is/N10=,20170324,1,0,0,0,17,18,4012.8140
zv12NEuyP2XxcgTDu89mGnPLdnfq8xhBY4jQl8JYLxk=,20170325,5,3,2,1,34,43,9060.8140
NCRcE4eNurBdOoRk0m+hwDz94xBN6+KL5PTwen4hmWU=,20170325,40,6,2,2,131,149,29400.8890
q5iH4iDmaFeyz2ZhvQsWlwzhfMhL98chdm4usnV4Ugk=,20170324,4,2,0,1,79,80,20312.5700
dgjSYdCsI6j51myzxWAdm9jebVRsdgbsvwGcigEUv+U=,20170325,3,1,0,2,155,156,36424.9540
Q6XdUeVvsXNF/7o0IjPbcSg6dCsFlsRsdGLuiT5UIiI=,20170318,1,1,1,0,136,123,37989.7160
